parameter,preset,fitted,fitted?
mu,0.8,1.3484662232759388,True
cp,3599999.999999997,13182129.509357454,True
contact_length,0.02500000000000001,0.02500000000000001,False
yaw_inertia,8.0,7.037280954209123,True
roll_inertia,20.0,20.0,False
align_gain,0.10000000000000002,0.10000000000000002,False
yaw_damping,0.49999999999999994,0.27842260921274387,True
roll_damping,15.0,15.0,False
cp_rear,3599999.999999997,13182129.509357454,False
contact_length_rear,0.02500000000000001,0.02500000000000001,False
steer_zero_deg,0.0,0.022446092637881623,True
steer_ratio,0.34403669724770647,0.34403669724770647,False
