timestamp,time_s,drive_pos_turns,drive_encoder_count,drive_wheel_angle_deg,drive_distance_m,drive_distance_since_start_m,drive_velocity_turns_s,drive_velocity_mps,drive_velocity_mph,drive_acceleration_mps2,drive_iq_A,steer_pos_turns,steer_encoder_count,steer_angle_deg,steer_velocity_turns_s,steer_velocity_deg_s,steer_acceleration_deg_s2,gps_received,gps_ros_stamp_s,gps_latitude_deg,gps_longitude_deg,gps_altitude_m,gps_status,gps_service,gps_cov_x_m2,gps_cov_y_m2,gps_cov_z_m2,gps_covariance_type,imu_received,imu_ros_stamp_s,imu_qx,imu_qy,imu_qz,imu_qw,imu_roll_deg,imu_pitch_deg,imu_yaw_deg,imu_gyro_x_rad_s,imu_gyro_y_rad_s,imu_gyro_z_rad_s,imu_accel_x_mps2,imu_accel_y_mps2,imu_accel_z_mps2
2026-09-11T17:39:30.851,7.040000014058023e-06,-281.0438232421875,-25293.944091796875,-101175.7763671875,-192.51501892089846,-0.00267578125,-0.8939785957336426,-0.6123753380775452,-1.3698446181047435,0.0,0.0,-0.006557464599609375,-53.71875,-2.360687255859375,0.030517585575580597,10.986330807209015,-3708.550314398958,0,nan,nan,nan,nan,-999,-999,nan,nan,nan,-999,1,1789162770.843231,-0.9932113552551328,0.1104796285876126,-0.007892487696490248,-0.035541019925803,176.0506470749639,-1.3483476662790435,-12.647889016158693,0.010613347181377518,-0.054391789875001685,0.008723504667318058,0.5928120022773742,1.0623544120216368,-9.945806527538299
2026-09-11T17:39:30.886,0.033424192000040875,-281.0749206542969,-25296.74285888672,-101186.97143554688,-192.53632064819337,-0.023977508544921877,-0.9460755586624146,-0.6480617576837541,-1.4496728652553539,-1.0679072712773443,0.0,-0.0054149627685546875,-44.359375,-1.9493865966796875,0.015258789993822575,5.493164397776127,-164.38164477417106,0,nan,nan,nan,nan,-999,-999,nan,nan,nan,-999,1,1789162770.8832312,-0.9930695389066587,0.1112030601745797,-0.00624509780716497,-0.03752024862529292,175.80522602264753,-1.188879099600493,-12.735086918773897,-0.009779952463550226,-0.06033620677436917,0.00851039996564955,0.6835235162734985,1.270451528453827,-9.08939176891327
2026-09-11T17:39:30.918,0.06682918400002791,-281.1126708984375,-25300.140380859375,-101200.5615234375,-192.56217956542972,-0.049836425781250006,-1.103639841079712,-0.7559932911396027,-1.691108829499825,-3.2310001288397405,0.0,-0.0052852630615234375,-43.296875,-1.9026947021484375,-0.015258791856467724,-5.493165068328381,-328.8828647559255,0,nan,nan,nan,nan,-999,-999,nan,nan,nan,-999,1,1789162770.911231,-0.9929518371567047,0.11238278092685225,-0.005951136920208172,-0.03716643119306765,175.8432073549653,-1.1558556499886716,-12.87262375743395,0.015280706667060754,-0.044975913093417474,0.008929802584903787,-0.3770656987190246,1.267999865913391,-9.536967282295228
2026-09-11T17:39:30.952,0.10023651200003769,-281.146728515625,-25303.20556640625,-101212.822265625,-192.58550903320315,-0.0731658935546875,-1.0520930290222168,-0.7206837248802186,-1.6121235792775093,1.056940748430217,0.0,-0.00478363037109375,-39.1875,-1.72210693359375,0.015258789993822575,5.493164397776127,328.8598676943361,0,nan,nan,nan,nan,-999,-999,nan,nan,nan,-999,1,1789162770.943231,-0.9928959957430517,0.11339343929140387,-0.003590957475009473,-0.03586885260910035,175.96177965552366,-0.8746815341648388,-12.999608003144921,0.006114586501436934,-0.025964390617293644,-0.00834441915378489,-1.225929336719513,0.7027445505905151,-9.304451606960297
2026-09-11T17:39:30.987,0.13365440000001172,-281.1866455078125,-25306.798095703125,-101227.1923828125,-192.61285217285158,-0.10050903320312501,-1.1319456100463867,-0.775382742881775,-1.7344817977849278,-1.6368185207155797,0.0,-0.0047931671142578125,-39.265625,-1.7255401611328125,0.0,0.0,-164.3779642142674,0,nan,nan,nan,nan,-999,-999,nan,nan,nan,-999,1,1789162770.983231,-0.9927408631823538,0.11497966763090196,-0.0016052311515016254,-0.03525163588250843,176.00744893485484,-0.6470893642362522,-13.190615713923355,-0.0007108726043372905,0.026870565564929103,-0.0060329050924435995,-0.7985555226707459,0.8988775538253785,-9.158528652553558
2026-09-11T17:39:31.019,0.16706870400003027,-281.2286071777344,-25310.574645996094,-101242.29858398438,-192.64159591674806,-0.1292527770996094,-1.263037085533142,-0.8651804035902024,-1.9353534439651965,-2.6874017997914184,0.0,-0.0047931671142578125,-39.265625,-1.7255401611328125,0.0,0.0,0.0,0,nan,nan,nan,nan,-999,-999,nan,nan,nan,-999,1,1789162771.011231,-0.992726182843788,0.1155230825543967,-0.0020945994346335058,-0.03383424222205073,176.1756980899311,-0.6861906197713546,-13.252347939867548,0.019647869521400966,0.03116355192605955,-0.00798715025590165,-1.0008667155075073,0.9450668760871886,-8.897965957756043
2026-09-11T17:39:31.053,0.20047792000002573,-281.268310546875,-25314.14794921875,-101256.591796875,-192.6687927246094,-0.1564495849609375,-1.211749792098999,-0.8300486075878144,-1.856765854482403,1.0515600247067394,0.0,-0.0047931671142578125,-39.265625,-1.7255401611328125,0.0,0.0,0.0,1,1789162771.042221,38.99141385833333,-76.93667046333333,-11.828000000000003,0,1,15.374240999999998,6.734025000000001,62.378403999999996,1,1,1789162771.043231,-0.9926600005822815,0.11656955664612267,-0.0032472148490183396,-0.03204867084662578,176.3950980808934,-0.7975004551703284,-13.370212419202895,0.019142771235873806,0.06514249446851116,-0.019165984114925334,-0.9917465308570862,0.8348401282691955,-10.734849599552154
2026-09-11T17:39:31.087,0.23388163200002055,-281.3119201660156,-25318.072814941406,-101272.29125976562,-192.6986653137207,-0.18632217407226564,-1.2657710313796997,-0.8670531564950944,-1.9395426729041998,-1.107797507872351,0.0,-0.00482177734375,-39.5,-1.73583984375,0.0762939527630806,27.465822994709015,822.2386480494528,1,1789162771.042221,38.99141385833333,-76.93667046333333,-11.828000000000003,0,1,15.374240999999998,6.734025000000001,62.378403999999996,1,1,1789162771.083231,-0.9925778232622304,0.11736059921696536,-0.006306675681894357,-0.031240684392164174,176.52866056469347,-1.1375439904331879,-13.452010752603266,0.006013357404821263,0.03885382167619697,-0.0035199800354221637,0.3702991101074219,0.5432884189605712,-10.612168406028749
2026-09-11T17:39:31.120,0.2673052800000164,-281.3572692871094,-25322.154235839844,-101288.61694335938,-192.72972946166993,-0.2173863220214844,-1.3710261583328247,-0.939152918457985,-2.100825247087473,-2.157148195280764,0.0,-0.00467681884765625,-38.3125,-1.68365478515625,0.015258789993822575,5.493164397776127,-657.3985759105531,1,1789162771.042221,38.99141385833333,-76.93667046333333,-11.828000000000003,0,1,15.374240999999998,6.734025000000001,62.378403999999996,1,1,1789162771.111231,-0.9924964063176275,0.11805393661284047,-0.007816566273818132,-0.03087155306254365,176.5917724035152,-1.3067346288924526,-13.527640748864119,-0.024551022989028636,0.035149360338839,0.009232093611349206,1.2789833140945435,-0.009218251152038575,-10.429274380512238
2026-09-11T17:39:31.153,0.3007279360000439,-281.39837646484375,-25325.853881835938,-101303.41552734375,-192.757887878418,-0.24554473876953126,-1.2676730155944824,-0.8683560156822205,-1.9424570859033186,2.1182309022869474,0.0,-0.0020160675048828125,-16.515625,-0.7257843017578125,0.0915527492761612,32.95898973941803,821.7726724536592,1,1789162771.042221,38.99141385833333,-76.93667046333333,-11.828000000000003,0,1,15.374240999999998,6.734025000000001,62.378403999999996,1,1,1789162771.1432312,-0.9924307312784152,0.11907469562330684,-0.0060737689974063105,-0.029420567747291557,176.73468595377014,-1.0922429043349027,-13.652479574426687,-0.012423951747396435,0.007046417789076706,0.0032199579370043386,-0.5414251554298402,0.7533468654251099,-9.884318831024169
2026-09-11T17:39:31.187,0.3341451840000218,-281.4455871582031,-25330.10284423828,-101320.41137695312,-192.79022720336914,-0.2778840637207031,-1.3475255966186523,-0.923055033683777,-2.064815304410737,-1.6368498687142805,0.0,0.003049850696697831,24.984376907348633,1.0979462508112192,0.1678466945886612,60.42481005191803,821.9055115645116,1,1789162771.042221,38.99141385833333,-76.93667046333333,-11.828000000000003,0,1,15.374240999999998,6.734025000000001,62.378403999999996,1,1,1789162771.183231,-0.9923499271245333,0.12046558879981853,-0.004759030075637432,-0.026589766523714815,177.04035423247365,-0.9082649566510104,-13.819559392694382,0.010402162341886203,-0.04109639523208448,0.005228482840199413,-0.745207345790863,0.4434567203140259,-9.737807477607726
2026-09-11T17:39:31.220,0.3675646400000119,-281.4911804199219,-25334.20623779297,-101336.82495117188,-192.8214585876465,-0.3091154479980469,-1.349411964416504,-0.9243471956253052,-2.0677057883529533,-0.03866496036107356,0.0,0.010698319412767887,87.64063262939453,3.8513949885964394,0.1831054985523224,65.91797947883606,164.37040228660996,1,1789162771.042221,38.99141385833333,-76.93667046333333,-11.828000000000003,0,1,15.374240999999998,6.734025000000001,62.378403999999996,1,1,1789162771.211231,-0.9922660221144664,0.12143423822811358,-0.004875430045731354,-0.025260588373195846,177.19410823155198,-0.9059096737226303,-13.932222213748542,0.03737273527295458,-0.015695222364409407,0.014097722500058998,-0.2996912289428711,0.251050244140625,-10.47389463874817
2026-09-11T17:39:31.254,0.40098576000002595,-281.5386657714844,-25338.479919433594,-101353.91967773438,-192.8539860534668,-0.34164291381835943,-1.4548943042755127,-0.9966025984287262,-2.229336521180935,-2.1619683243227814,0.0,0.0192794818431139,157.93751525878906,6.940613463521004,0.3356933891773224,120.84962010383606,1643.6205795908957,1,1789162771.042221,38.99141385833333,-76.93667046333333,-11.828000000000003,0,1,15.374240999999998,6.734025000000001,62.378403999999996,1,1,1789162771.243231,-0.9920891114812825,0.12284443409434438,-0.004109540788061549,-0.025525508160095266,177.15451587089905,-0.8265428932544647,-14.096797283763246,-0.022786495115262366,-0.08714690754595486,0.044043907272852505,-2.0828344278526307,0.36971071109771725,-10.568823012313842
2026-09-11T17:39:31.287,0.4344083519999913,-281.58331298828125,-25342.498168945312,-101369.99267578125,-192.88456939697267,-0.37222625732421877,-1.3511345386505127,-0.9255271589756012,-2.0703452911945246,2.1265687428790296,0.0,0.02861023135483265,234.37501525878906,10.299683287739754,0.06103518605232239,21.97266697883606,-2958.3867440652884,1,1789162771.042221,38.99141385833333,-76.93667046333333,-11.828000000000003,0,1,15.374240999999998,6.734025000000001,62.378403999999996,1,1,1789162771.283231,-0.9919692520048113,0.1240122473122834,-0.0025904995950459427,-0.02472356983568791,177.22519180454555,-0.6458197769855427,-14.23622129613515,-0.017455561447970887,-0.05473125641451458,0.035589183310341575,0.4965106976890564,0.7758040942955017,-9.432918724079132
